Date,UUP,FDN,IBB,IEZ,IGV,IHE,IHF,IHI,ITA,ITB,IYJ,IYT,IYW,IYZ,KBE,KCE,KIE,PBJ,PBS,SMH,VNQ
2021-05-17,24.04833603,216.2799988,149.2481995,15.5033493,340.1580811,177.6777649,261.8228455,55.72137451,103.9122391,70.84354401,108.7107468,269.7897949,88.47098541,31.65635681,52.14551926,87.19664001,38.082901,40.91375351,49.10628128,113.4653854,90.68151855
2021-05-18,23.93929482,215.8000031,149.7855225,15.0806179,340.3180542,177.5624847,263.1174011,55.84861374,102.588829,69.03160858,107.2337418,266.4750061,87.876297,31.04011154,51.28003693,86.09011078,37.78604507,40.67177582,49.24142838,112.8408661,90.70019531
2021-05-19,24.04833603,216.0399933,148.4024658,14.59890556,341.9478149,176.6592865,262.8231812,55.78416443,102.098671,68.46044159,106.7153244,264.8858948,88.27275848,30.80309296,51.01662445,85.74669647,37.67114258,40.26525116,49.01940918,114.8619461,90.41091156
2021-05-20,23.92938232,220.8899994,151.4172974,14.52025604,350.016571,179.1766815,263.5489502,56.70619202,103.1181946,68.89373016,107.4195938,263.511261,90.11631775,31.25816536,50.92255402,86.23319244,37.80520248,40.62338257,50.15849304,117.7140732,91.42803192
2021-05-21,24.00868416,219.5099945,150.6213074,14.66771984,348.8067627,178.8692169,265.3730164,56.67809677,103.9906616,68.28318024,107.6543503,263.6380005,89.65047455,31.30557442,51.49640656,87.08217621,37.81477737,40.83631897,50.27433395,117.1190491,91.33470917
2021-05-24,23.94920921,223.6799927,149.7059326,14.63822842,354.5458984,178.7635345,265.2063293,56.99205017,105.0983963,68.62786102,108.5248871,266.0753784,91.41474152,31.36245537,51.28944778,87.46374512,37.84350967,41.09765625,51.13347244,119.6908798,92.47312927
2021-05-25,23.91946983,223.9100037,148.9397888,14.28431511,355.2757568,177.5913239,265.7849731,57.2415657,104.9905701,69.49443817,108.2705841,263.3942566,91.55349731,31.15388107,50.20758438,86.66244507,37.25938416,41.02022934,50.4480896,120.4776764,92.44512939
2021-05-26,24.00868416,225.7599945,149.8352661,14.54974937,358.2752991,177.2165833,265.9909058,56.73262787,105.5101318,70.68599701,108.4759827,265.7048035,91.79137421,31.26764488,50.97900009,87.39697266,37.56580353,41.11701965,50.89214706,120.6006088,92.85570526
2021-05-27,23.98886108,224.7899933,150.0143738,14.7267046,355.7756958,176.7265625,266.1086121,56.84168625,108.4118195,70.9026413,109.5323868,267.9179077,91.4048233,31.40037727,51.7598114,88.16962433,37.92011261,41.1750946,51.46167755,121.1808701,92.64109802
2021-05-28,24.00868416,225.8099976,151.1884613,14.62839603,358.8452454,177.1781158,266.1478577,57.18867874,108.1275406,70.82386017,109.5715103,268.4151611,91.64269257,31.42882347,51.72218704,88.4748764,38.1020546,41.37835312,51.2975769,122.5380859,93.20096588
