Date,UUP,FDN,IBB,IEZ,IGV,IHE,IHF,IHI,ITA,ITB,IYJ,IYT,IYW,IYZ,KBE,KCE,KIE,PBJ,PBS,SMH,VNQ
2009-03-12,26.18000031,14.27999973,21.30333328,25,30.45999908,39.22999954,29.46999931,5.71999979,15.47500038,7.889999866,16.35499954,43.43000031,8.677499771,15.09000015,12.96000004,23.64999962,5.736667156,11.11999989,6.170000076,9.050000191,26.20999908
2009-03-13,26.20999908,14.22000027,21.66666794,24.65999985,30.20000076,40.56000137,30.53000069,5.91166687,15.52999973,7.929999828,16.39500046,43.41999817,8.664999962,15.38000011,12.78999996,23.87000084,5.936666965,11.27000046,6.199999809,9.18500042,25.64999962
2009-03-16,26.12999916,13.96000004,21.21999931,25.39999962,29.59000015,40.02999878,30.04999924,5.856667042,15.80500031,7.639999866,16.48999977,45.04000092,8.532500267,15.07999992,12.72999954,23.03000069,5.866666794,11.34000015,6.119999886,8.885000229,23.62999916
2009-03-17,26.09000015,14.51000023,21.95666695,26.15999985,30.45999908,40.68000031,30.78000069,5.940000057,16.11000061,8.050000191,16.92000008,46.40000153,8.822500229,15.48999977,13.59000015,24.39999962,6.329999924,11.51000023,6.360000134,9.234999657,25.42000008
2009-03-18,25.25,14.80000019,21.88999939,26.64999962,31.46999931,40.95999908,31.12000084,6.016666889,16.38999939,8.75,17.25,47.24000168,8.987500191,15.97999954,15.06999969,25.94000053,6.986667156,11.52000046,6.480000019,9.510000229,26.80999947
2009-03-19,24.95000076,14.60000038,21.61666679,27.82999992,31.88999939,40.36999893,30.29000092,5.851666927,16.18000031,8.460000038,17.16500092,47.31999969,9.042499542,15.88000011,13.64999962,24.11000061,6.603332996,11.38000011,6.449999809,9.399999619,25.17000008
2009-03-20,25.15999985,14.39000034,21.27666664,26.23999977,31.03000069,40.38000107,29.79000092,5.775000095,15.86999989,7.900000095,16.61499977,45.09999847,8.87250042,15.59000015,12.90999985,23.55999947,6.276667118,11.27000046,6.269999981,9.069999695,23
2009-03-23,25.03000069,15.35999966,22.35000038,28.87999916,33.02999878,42.27000046,31.30999947,6.038332939,16.85499954,8.850000381,17.82500076,48.27000046,9.385000229,16.54000092,15.31000042,26.87999916,7.093332767,11.80000019,6.570000172,9.635000229,26.71999931
2009-03-24,25.30999947,15.06000042,21.87999916,28.20000076,32.31000137,41.70999908,30.31999969,5.961667061,16.69499969,8.779999733,17.67499924,47.88000107,9.265000343,16.21999931,14.35000038,25.54999924,6.766666889,11.64000034,6.75,9.390000343,24.65999985
2009-03-25,25.11000061,15,22.09000015,28,32.72000122,41.63000107,30.87000084,6.031667233,16.93499947,9.109999657,17.60000038,47.20000076,9.282500267,16.12000084,15,26.45999908,6.849999905,11.75,6.860000134,9.409999847,24.57999992
2009-03-26,25.27000046,15.64000034,22.70666695,28.15999985,34.13000107,42.84000015,31.70999908,6.235000134,17.77499962,9.670000076,18.45000076,51.22000122,9.592499733,16.61000061,14.81000042,27.10000038,7.06666708,12.02000046,7,9.909999847,25.12999916
2009-03-27,25.56999969,15.14999962,22.36000061,26.95000076,33.11999893,42.06000137,30.82999992,6.198332787,17.36000061,9.539999962,18.03499985,49.38000107,9.37250042,16.45000076,14.52000046,26.26000023,6.983333111,11.81999969,6.909999847,9.68500042,24.01000023
2009-03-30,25.72999954,14.86999989,22.07333374,25.67000008,32.34000015,41.66999817,30.36000061,6.086667061,16.65999985,8.909999847,17.22500038,47.22000122,9.109999657,15.61999989,13.10000038,24.53000069,6.376667023,11.56999969,6.559999943,9.255000114,22.70000076
2009-03-31,25.63999939,14.98999977,22.11666679,25.18000031,33.06999969,42.13999939,31.12999916,6.138332844,16.76499939,8.739999771,17.34000015,47.75999832,9.257499695,15.93999958,13.85999966,25.72999954,6.656667233,11.69999981,6.829999924,9.350000381,24.28000069
2009-04-01,25.65999985,15.23999977,21.64999962,25.56999969,33.56999969,42.22999954,31.13999939,6.101666927,16.97999954,8.970000267,17.64500046,48.56999969,9.462499619,16.53000069,14.46000004,25.96999931,6.846666813,11.81000042,6.940000057,9.369999886,24.14999962
2009-04-02,25.31999969,15.93999958,21.82333374,26.98999977,34.70000076,42.36000061,32.22999954,6.21333313,17.65500069,9.409999847,18.65999985,52.41999817,9.765000343,17.12000084,14.65999985,27.05999947,7.033332825,12.11999989,7.329999924,9.75,25.89999962
2009-04-03,25.23999977,16.12000084,21.68333244,28.29000092,35.18999863,41.54999924,31.60000038,6.15500021,17.58499908,9.579999924,18.78000069,53.02000046,9.930000305,17.22999954,15.27999973,28.02000046,7.226666927,12.18999958,7.360000134,10,28.12999916
2009-04-06,25.36000061,16.05999947,21.70000076,27.51000023,34.59000015,41.38000107,32.13999939,6.166666985,18.20499992,9.390000343,18.82999992,52.13000107,9.81499958,17.31999969,14.72000027,27.40999985,7.119999886,11.98999977,7.21999979,9.795000076,27.80999947
2009-04-07,25.54999924,15.56999969,21.35000038,26.79000092,33.88999939,40.91999817,32.29999924,6.103332996,17.80500031,8.93999958,18.20499992,49.5,9.542499542,16.71999931,14.18000031,26.5,6.96333313,11.77999973,7.059999943,9.489999771,25.72999954
2009-04-08,25.55999947,15.96000004,21.65999985,27.42000008,34.65999985,41.40000153,32.24000168,6.241666794,17.87000084,8.989999771,18.32500076,50.40000153,9.742500305,16.65999985,14,26.36000061,7.296667099,11.89999962,7.230000019,9.619999886,26.11000061
2009-04-09,25.65999985,16.79999924,22.06333351,28.65999985,35.56999969,41.59000015,33.15000153,6.418333054,18.80999947,9.600000381,19.30999947,53.16999817,10.00249958,17.14999962,16.82999992,28.82999992,7.833333015,12.10000038,7.570000172,10.06000042,29.61000061
2009-04-13,25.31999969,17.06999969,21.97333336,28.62999916,35.20000076,41.59999847,34.16999817,6.43333292,18.5,9.550000191,19.28499985,52.93999863,9.992500305,17.12999916,18.04000092,29.63999939,8.086667061,12.10000038,7.619999886,10.02499962,29.70000076
2009-04-14,25.37999916,16.70999908,21.67333221,28.95000076,34.59999847,41.04999924,34.18999863,6.440000057,18.18499947,9.390000343,19.00499916,52.59000015,9.875,16.65999985,16.64999962,27.86000061,7.533332825,11.88000011,7.519999981,10.06499958,27.18000031
2009-04-15,25.42000008,16.77000046,21.4533329,29.35000038,34.40000153,41.34999847,34.65999985,6.440000057,18.44499969,9.869999886,19.23500061,53.09000015,9.840000153,16.87000084,17.39999962,28.59000015,7.909999847,11.94999981,7.510000229,9.859999657,29.54000092
2009-04-16,25.51000023,17.27000046,21.67000008,30.23999977,35.27999878,41.79000092,34.27999878,6.531667233,19.07500076,10.22000027,19.81500053,54.70000076,10.13000011,16.98999977,17.80999947,28.44000053,7.993332863,12.22999954,7.900000095,10.23999977,30.53000069
2009-04-17,25.77000046,17.45000076,21.70666695,30.88999939,35.38000107,42.29000092,34.33000183,6.650000095,19.15500069,10.69999981,19.92499924,55.34000015,10.13249969,16.97999954,18.46999931,28.73999977,8.053333282,12.40999985,8.010000229,10.21500015,31.07999992
2009-04-20,25.96999931,16.72999954,21.03666687,28.89999962,34.15999985,41.24000168,33.65000153,6.465000153,18.45000076,9.800000191,18.94499969,52.27999878,9.832500458,16.15999985,15.72999954,26.87000084,7.436666965,12.35999966,7.639999866,9.744999886,27.87999916
